mp-1183115,-8.232146192000002,5
mp-1183052,-7.604279514,5
mp-866101,-8.862593228,5
mp-864606,-7.035745362,5
mp-861502,-8.258555312000002,5
mp-1183053,-7.461883426,5
mp-1183142,-7.120950934,5
mp-864911,-8.599044686,5
mp-1183139,-7.404515515999998,5
mp-1183145,-7.065943371999998,5
mp-1183152,-8.888565856,5
mp-1183150,-7.746321593999999,5
mp-865927,-8.979745746000003,5
mp-1183168,-8.750861914000003,5
mp-558189,-3.04893323,5
mp-776165,-4.548984380999999,20
mp-985292,-5.419856482,5
mp-775761,-4.321017940000001,20
mp-1200271,-21.103716524777774,40
mp-776168,-6.386093229,20
mp-540872,-5.807639057,20
mp-1183169,-5.90149902,5
mp-1418444,-4.537316028,5
mp-1183159,-5.773129062000001,5
mp-1413511,-5.384721585999999,5
mp-23080,-6.928135245999999,5
mp-10037,-11.477633503499998,5
mp-1435808,-6.187918972,5
mp-1504314,-5.386731856,5
mp-1206715,-7.313583432,5
mp-22793,-7.837073891999999,5
mp-1206123,-6.715165902000001,5
mp-1206767,-7.808947493999999,5
mp-1206753,-6.277973040000001,5
mp-1421498,-6.574422203999999,5
mp-1183160,-6.512231168,5
mp-1183133,-6.686330656,5
mp-1433892,-7.2902197,5
mp-1207084,-10.700125431499998,5
mp-1183176,-6.260375212,5
mp-1416557,-5.768405216,5
mp-1183154,-6.651739886,5
mp-10040,-34.065161621499996,5
mp-1183134,-6.813236745999999,5
mp-1421511,-5.814324374,5
mp-1183132,-6.957105078,5
mp-1426094,-5.873238904,5
mp-1183128,-7.805885834,5
mp-1395974,-7.286648706000001,5
mp-1417649,-7.760853983999999,5
mp-1183212,-5.260162976,5
mp-1183221,-6.365849548,5
mp-984553,-6.7745640640000016,5
mp-984554,-6.110985154,5
mp-1183242,-5.8971810520000005,5
mp-1183277,-5.839233441999999,5
mp-1183211,-6.391039034,5
mp-1183194,-5.755480568,5
mp-1013709,-3.459798958,5
mp-1013734,-4.495886798,5
mp-1013586,-3.851431508,5
mp-1013711,-3.668456264,5
mp-1013563,-3.687723917999999,5
