cif_id,mean_error(Å),max_error(Å)
Nd1 In1 O3,0.0036,0.0066
Np1 Be1 O3,0.0060,0.0095
Mn3 Au1 N1,0.0046,0.0066
Na1 Li1 O3,0.0050,0.0081
La1 Cr1 O3,0.0060,0.0087
